Shipment ID,Site ID,Product ID,Shipment Date,Quantity,Delivery Status,Transportation Type
SHP90100,PKH1,PRD10033,2024-11-12,69,Delayed,Rail
SHP90101,GDPP,PRD10072,2024-05-02,29,Cancelled,Truck
SHP90102,MYZY,PRD10085,2024-09-24,79,Delayed,Rail
SHP90103,PS3Y,PRD10007,2024-10-16,76,Delayed,Ship
SHP90104,4ZKL,PRD10030,2024-11-30,48,Delivered,Ship
SHP90105,OTOH,PRD10004,2024-12-14,83,Cancelled,Rail
SHP90106,H75L,PRD10096,2024-11-16,32,Delivered,Rail
SHP90107,T2TA,PRD10016,2024-04-22,64,Delivered,Ship
SHP90108,T2TA,PRD10080,2024-06-15,86,Delayed,Air
SHP90109,AM14,PRD10008,2024-05-15,59,Cancelled,Ship
SHP90110,PS3Y,PRD10041,2024-08-20,76,Delayed,Truck
SHP90111,KJLT,PRD10079,2025-01-26,76,Delayed,Truck
SHP90112,93TY,PRD10019,2024-06-15,82,Cancelled,Truck
SHP90113,J7YH,PRD10072,2024-05-22,46,Cancelled,Air
SHP90114,93TY,PRD10033,2024-10-14,93,Delayed,Ship
SHP90115,PKH1,PRD10022,2024-08-20,61,Delivered,Ship
SHP90116,PKH1,PRD10050,2024-09-17,98,Delivered,Truck
SHP90117,NY20,PRD10060,2024-08-16,57,Delivered,Air
SHP90118,P5TB,PRD10039,2024-08-22,72,Cancelled,Truck
SHP90119,SV87,PRD10017,2024-09-01,66,Delayed,Air
SHP90120,AM14,PRD10053,2025-02-04,92,Delivered,Rail
SHP90121,A1WJ,PRD10027,2024-10-26,72,Cancelled,Air
SHP90122,30T9,PRD10065,2024-06-21,18,Delayed,Ship
SHP90123,0T0P,PRD10099,2024-12-25,82,Delivered,Rail
SHP90124,T2TA,PRD10025,2024-04-30,41,Delivered,Ship
SHP90125,30T9,PRD10046,2025-03-27,35,Delayed,Air
SHP90126,T4UF,PRD10064,2024-10-21,91,Delivered,Truck
SHP90127,EIMV,PRD10047,2024-12-07,86,Delayed,Rail
SHP90128,ID25,PRD10075,2025-01-08,54,Delayed,Rail
SHP90129,4CIY,PRD10095,2025-03-19,21,Delayed,Truck
SHP90130,EXQ7,PRD10006,2024-06-23,83,Delivered,Rail
SHP90131,A11D,PRD10028,2025-03-13,36,Delayed,Ship
SHP90132,I3QK,PRD10002,2025-03-16,11,Delayed,Rail
SHP90133,A11D,PRD10022,2025-02-02,11,Delivered,Air
SHP90134,2VLP,PRD10039,2025-03-31,100,Cancelled,Air
SHP90135,FKHM,PRD10048,2024-09-26,68,Delayed,Rail
SHP90136,T4UF,PRD10038,2025-03-13,76,Cancelled,Ship
SHP90137,P7Y6,PRD10013,2024-04-04,75,Cancelled,Air
SHP90138,PS3Y,PRD10082,2025-01-30,87,Delayed,Air
SHP90139,0RJI,PRD10013,2024-12-03,18,Delayed,Air
SHP90140,W1Q5,PRD10041,2024-08-20,43,Cancelled,Air
SHP90141,T2TA,PRD10019,2024-12-21,40,Delivered,Ship
SHP90142,7EEQ,PRD10040,2025-03-15,27,Cancelled,Truck
SHP90143,A11D,PRD10063,2024-08-30,43,Delayed,Ship
SHP90144,EXQ7,PRD10094,2024-04-19,84,Cancelled,Rail
SHP90145,GHC0,PRD10092,2024-07-23,97,Cancelled,Ship
SHP90146,7EEQ,PRD10045,2024-12-16,48,Delivered,Rail
SHP90147,M5IG,PRD10012,2024-11-28,26,Cancelled,Air
SHP90148,AM14,PRD10071,2024-07-03,97,Delayed,Truck
SHP90149,SV87,PRD10045,2024-07-24,49,Delayed,Air
