Month,Site ID,Product Category,Forecasted Sales,Actual Sales,Seasonal Adjustments
Jun-2024,MYZY,Apparel,90216.73,79261.9625332098,-0.1214
Mar-2025,AM14,Dairy,16786.0,13553.891251883422,-0.1925
Jan-2025,I3QK,Dairy,62101.07,68788.11954948754,0.1077
Dec-2024,IUC0,Dairy,33455.47,38727.863845451,0.1576
Feb-2025,BVM2,Electronics,79767.75,75486.41161255974,-0.0537
Jun-2024,SV87,Apparel,51823.1,52038.93270890174,0.0042
Dec-2024,SEMC,Apparel,10953.25,9809.20846892493,-0.1044
Dec-2024,WM31,Bakery,22633.36,19548.18332189136,-0.1363
Mar-2025,4ZKL,Bakery,75880.4,89210.3177070485,0.1757
Nov-2024,PKH1,Bakery,30857.49,27948.950814258078,-0.0943
Feb-2025,SV87,Dairy,28609.67,33275.633583560746,0.1631
Nov-2024,CXUL,Electronics,92611.17,106745.56016228147,0.1526
May-2024,PKH1,Apparel,73336.26,73963.22354179726,0.0085
Jan-2025,GDPP,Apparel,58991.51,51295.47327415957,-0.1305
Sep-2024,A11D,Electronics,62891.09,72909.05241766498,0.1593
Oct-2024,CX19,Apparel,97540.67,86729.23305187684,-0.1108
Sep-2024,SEMC,Apparel,53817.54,53432.4236150159,-0.0072
Dec-2024,2VLP,Dairy,89383.08,87234.26430462347,-0.024
Dec-2024,SV87,Dairy,67912.93,60076.24251478969,-0.1154
Sep-2024,5JSG,Bakery,64181.82,72318.92144280329,0.1268
Oct-2024,7EEQ,Bakery,83005.54,90318.51596118836,0.0881
Nov-2024,ID25,Electronics,28963.36,25038.781389221913,-0.1355
Jul-2024,93TY,Dairy,13882.99,14291.07500089537,0.0294
Feb-2025,ZYTJ,Bakery,56137.85,64913.26642451202,0.1563
Jun-2024,FFYV,Dairy,33243.37,28988.7178168098,-0.128
Mar-2025,SEMC,Dairy,75517.69,85223.3235079069,0.1285
Nov-2024,MYZY,Bakery,64587.33,63848.798551610365,-0.0114
Jul-2024,ID25,Bakery,84732.72,88150.45542134567,0.0403
Jan-2025,P7Y6,Bakery,69368.39,62834.461991904835,-0.0942
Nov-2024,AM14,Apparel,63688.0,52704.18657070512,-0.1725
Jun-2024,EXQ7,Electronics,19771.31,17417.326356829013,-0.1191
Jun-2024,I3QK,Electronics,64495.99,56173.99977020345,-0.129
Dec-2024,WM31,Dairy,55299.63,46839.149521005755,-0.153
Jan-2025,ID25,Bakery,58535.74,46856.693974099464,-0.1995
Dec-2024,M5K8,Electronics,47861.56,55037.43030357713,0.1499
Jul-2024,KJLT,Electronics,94457.95,93782.51701335117,-0.0072
Sep-2024,M5K8,Electronics,63014.33,69098.84353616292,0.0966
Oct-2024,XDP5,Dairy,22049.48,21847.870465002747,-0.0091
Aug-2024,SV87,Dairy,63846.31,64963.135753500355,0.0175
Apr-2024,4CIY,Bakery,73823.4,82369.86067208166,0.1158
Dec-2024,4ZKL,Dairy,10647.46,11305.669455762883,0.0618
Oct-2024,KJLT,Apparel,42604.28,36721.11599370323,-0.1381
Aug-2024,A11D,Apparel,86947.92,84289.45421652491,-0.0306
Feb-2025,CXUL,Apparel,45770.87,40345.990434502164,-0.1185
